"","gene","CvDep","CvDep_diff","CvPTSD","CvPTSD_diff","CvPTSDDep","CvPTSDDep_diff","CTEvDep","CTEvDep_diff","CTEvPTSD","CTEvPTSD_diff","CTEvPTSDDep","CTEvPTSDDep_diff"
"1","SLC38A2","Over",0.2826,"Over",0.1197,"Over",0.2524,"Over",0.29,"Over",0.1271,"Over",0.2598
"2","BASP1","Under",0.1729,"Under",0.349,"Under",0.2448,"Under",0.1158,"Under",0.2919,"Under",0.1877
"3","SUCLG2","Over",0.0089,"Under",0.0431,"Over",0.149,"Over",0.2174,"Over",0.1654,"Over",0.3575
"4","PIK3AP1","Over",0.0019,"Under",0.2096,"Over",0.165,"Over",0.2745,"Over",0.0629,"Over",0.4375
"5","RPS27","Over",0.1876,"Over",0.0645,"Over",0.0503,"Over",0.0984,"Under",0.0248,"Under",0.039
"6","RBIS","Over",0.2378,"Over",0.1348,"Over",0.0169,"Over",0.0796,"Under",0.0234,"Under",0.1413
"7","RAX2","Over",0.0331,"Under",0.3761,"Over",0.1764,"Under",0.0189,"Under",0.428,"Over",0.1245
"8","UBL7","Over",0.0692,"Over",0.3851,"Over",0.0383,"Over",0.0904,"Over",0.4063,"Over",0.0595
"9","PTPRC","Under",0.2648,"Under",0.2533,"Under",0.1081,"Under",0.2809,"Under",0.2694,"Under",0.1242
"10","COX6C","Over",0.2325,"Over",0.2674,"Over",0.0849,"Over",0.1296,"Over",0.1644,"Under",0.018
"11","HMGB2","Under",0.1666,"Under",0.1046,"Under",0.3451,"Under",0.3766,"Under",0.3146,"Under",0.5551
"12","ITGB2","Under",0.2013,"Under",0.2657,"Under",0.2008,"Under",0.1808,"Under",0.2451,"Under",0.1803
"13","EPB41L4A-AS1","Over",0.2328,"Over",0.2749,"Under",0.0049,"Over",0.1602,"Over",0.2023,"Under",0.0775
"14","LSP1","Under",0.201,"Under",0.0682,"Under",0.1792,"Under",0.2072,"Under",0.0745,"Under",0.1855
"15","RPS25","Over",0.436,"Over",0.4039,"Over",0.2846,"Over",0.1094,"Over",0.0773,"Under",0.0419
"16","CDC14A","Over",0.1308,"Over",0.0188,"Over",0.0888,"Over",0.122,"Over",0.01,"Over",0.08
"17","SPDYE7P","Under",0.0764,"Under",0.5083,"Under",0.0569,"Under",0.0079,"Under",0.4399,"Over",0.0116
"18","TRPA1","Over",0.2411,"Over",0.3679,"Over",0.2132,"Over",0.2362,"Over",0.3631,"Over",0.2083
"19","RPL24","Over",0.1177,"Over",0.1697,"Over",0.0158,"Over",0.0304,"Over",0.0823,"Under",0.0715
"20","MDH1","Under",0.047,"Over",0.0496,"Over",0.0236,"Under",0.2566,"Under",0.16,"Under",0.186
"21","MAGEL2","Over",0.0684,"Over",0.1535,"Under",0.0307,"Over",0.2063,"Over",0.2913,"Over",0.1071
"22","RPL6","Over",0.0346,"Over",0.1936,"Over",0.0033,"Under",0.072,"Over",0.0869,"Under",0.1033
"23","DYNLRB1","Under",0.087,"Over",0.1953,"Under",0.0851,"Under",0.0828,"Over",0.1995,"Under",0.0809
"24","RPL7","Over",0.2332,"Over",0.2234,"Over",0.1259,"Over",0.147,"Over",0.1373,"Over",0.0398
"25","RARA","Under",0.0773,"Under",0.327,"Under",0.0774,"Under",0.0272,"Under",0.2769,"Under",0.0272
"26","ADRA2A","Over",0.083,"Under",0.1493,"Under",0.2719,"Over",0.1281,"Under",0.1042,"Under",0.2268
"27","RPL31","Over",0.19,"Over",0.1452,"Over",0.0067,"Over",0.0191,"Under",0.0256,"Under",0.1642
"28","BTF3","Over",0.0873,"Over",0.2515,"Over",0.0634,"Over",0.096,"Over",0.2601,"Over",0.072
"29","SLC25A26","Over",0.0695,"Over",0.2276,"Over",0.0908,"Over",0.1146,"Over",0.2727,"Over",0.1359
"30","PLIN3","Under",0.3058,"Under",0.2681,"Under",0.2079,"Under",0.2137,"Under",0.176,"Under",0.1158
"31","RPS27","Over",0.0838,"Over",0.1446,"Over",0.0579,"Over",0.0339,"Over",0.0947,"Over",0.008
"32","CRLF3","Under",0.201,"Under",0.1391,"Under",0.2065,"Under",0.1465,"Under",0.0846,"Under",0.152
"33","TASOR","Over",0.1134,"Under",0.136,"Under",0.2087,"Over",0.0817,"Under",0.1677,"Under",0.2404
"34","FLOT1","Under",0.253,"Under",0.1871,"Under",0.1898,"Under",0.15,"Under",0.0841,"Under",0.0868
"35","ANK3","Over",0.1473,"Under",0.1454,"Under",0.2216,"Over",0.0369,"Under",0.2558,"Under",0.332
"36","ZNF326","Over",0.2242,"Over",0.6007,"Over",0.3664,"Over",0.2746,"Over",0.6511,"Over",0.4168
"37","GFRA4","Over",0.073,"Under",0.096,"Under",0.2252,"Over",0.0331,"Under",0.1359,"Under",0.2652
"38","CXCR1","Under",0.1849,"Under",0.2616,"Under",0.2821,"Under",0.1395,"Under",0.2162,"Under",0.2367
"39","LPAR2","Over",0.0508,"Under",0.2846,"Over",0.0973,"Over",0.0432,"Under",0.2923,"Over",0.0897
"40","RPF2","Under",0.0324,"Over",0.1113,"Under",0.1063,"Under",0.2952,"Under",0.1515,"Under",0.3692
"41","RPS17","Over",0.1716,"Over",0.0921,"Over",0.0277,"Over",0.085,"Over",0.0056,"Under",0.0588
"42","EFR3A","Over",0.1769,"Over",0.142,"Over",0.2544,"Over",0.28,"Over",0.2451,"Over",0.3575
"43","SPCS1","Under",0.0789,"Over",0.0768,"Under",0.0768,"Under",0.2275,"Under",0.0718,"Under",0.2254
"44","EFNA4","Over",0.1426,"Under",0.1491,"Under",0.2589,"Over",0.0251,"Under",0.2667,"Under",0.3764
"45","TP53I13","Over",0.3318,"Over",0.3415,"Over",0.0715,"Over",0.2175,"Over",0.2272,"Under",0.0428
"46","MIS18BP1","Over",0.2443,"Over",0.0876,"Over",0.253,"Over",0.2409,"Over",0.0841,"Over",0.2496
"47","SRRD","Over",0.1028,"Over",0.3251,"Over",0.1564,"Over",0.1882,"Over",0.4105,"Over",0.2418
"48","CAMK2A","Over",0.0861,"Over",0.3525,"Over",0.1044,"Over",0.219,"Over",0.4854,"Over",0.2373
"49","PREPL","Over",0.1476,"Over",0.0461,"Over",0.0358,"Over",0.0525,"Under",0.049,"Under",0.0593
"50","EPB41","Under",0.3425,"Over",0.1769,"Under",0.0533,"Under",0.1919,"Over",0.3274,"Over",0.0973
"51","FCN1","Under",0.2581,"Under",0.2778,"Under",0.3523,"Under",0.2293,"Under",0.249,"Under",0.3235
"52","RGS10","Over",0.0161,"Over",0.2412,"Over",0.1212,"Over",0.2779,"Over",0.503,"Over",0.3829
"53","ACP1","Under",0.0919,"Over",0.2358,"Over",0.2989,"Over",0.0806,"Over",0.4083,"Over",0.4714
"54","ICOS","Over",0.1237,"Over",0.1934,"Over",0.3309,"Over",0.1243,"Over",0.194,"Over",0.3315
"55","FAM156A","Over",0.1289,"Over",0.2453,"Over",0.0752,"Over",0.0758,"Over",0.1922,"Over",0.0222
"56","MXI1","Under",0.249,"Over",0.2614,"Over",0.0689,"Under",0.2,"Over",0.3104,"Over",0.1179
"57","UXT","Over",0.1338,"Over",0.1907,"Under",0.003,"Over",0.1474,"Over",0.2043,"Over",0.0107
"58","HSD17B7","Over",0.0762,"Under",0.3855,"Over",0.1903,"Under",0.0812,"Under",0.5429,"Over",0.0329
"59","PROS1","Over",0.1397,"Over",0.346,"Over",0.2642,"Over",0.1646,"Over",0.3709,"Over",0.2891
"60","ATP5PB","Under",0.1557,"Over",0.1233,"Under",0.1409,"Under",0.2239,"Over",0.055,"Under",0.2092
"61","SP110","Under",0.017,"Under",0.1162,"Over",0.2212,"Under",0.243,"Under",0.3423,"Under",0.0048
"62","IFITM2","Under",0.1166,"Under",0.2345,"Under",0.2174,"Under",0.2188,"Under",0.3368,"Under",0.3197
"63","LINC01720","Over",0.1991,"Under",0.2527,"Over",0.1686,"Under",0.0301,"Under",0.4819,"Under",0.0606
"64","UBE2H","Under",0.2189,"Over",0.3126,"Over",0.0949,"Under",0.1885,"Over",0.343,"Over",0.1253
"65","UBE4B","Over",0.0034,"Under",0.2107,"Over",0.0344,"Over",0.0912,"Under",0.1229,"Over",0.1222
"66","STK26","Over",0.2197,"Over",0.1483,"Over",0.1097,"Over",0.2816,"Over",0.2102,"Over",0.1717
"67","RALB","Under",0.1816,"Under",0.1456,"Under",0.0911,"Under",0.1871,"Under",0.1511,"Under",0.0966
"68","WDFY1","Over",0.2749,"Over",0.0151,"Over",0.348,"Over",0.3117,"Over",0.0519,"Over",0.3848
"69","LINC01618","Under",0.0275,"Over",0.2285,"Over",0.0278,"Over",0.1266,"Over",0.3827,"Over",0.182
"70","ARL17A","Over",0.0716,"Under",0.1489,"Under",0.0958,"Over",0.066,"Under",0.1545,"Under",0.1014
"71","ARHGAP33","Over",0.1176,"Under",0.2133,"Under",0.1819,"Over",0.0202,"Under",0.3108,"Under",0.2794
"72","TGM2","Under",0.0453,"Over",0.3078,"Under",0.0192,"Over",0.272,"Over",0.6251,"Over",0.2981
"73","GSTP1","Over",0.0157,"Under",0.165,"Under",0.1931,"Over",0.0055,"Under",0.1752,"Under",0.2033
"74","SLC25A23","Over",0.09,"Over",0.295,"Over",0.126,"Over",0.1116,"Over",0.3166,"Over",0.1476
"75","USP49","Over",0.1434,"Under",0.4099,"Over",0.2057,"Under",0.0391,"Under",0.5923,"Over",0.0232
"76","SASS6","Over",0.0492,"Under",0.1089,"Under",0.2241,"Over",0.0242,"Under",0.134,"Under",0.2491
"77","ALOX5","Under",0.1929,"Under",0.4015,"Under",0.2282,"Under",0.0528,"Under",0.2615,"Under",0.0882
"78","ICAM4","Over",0.0036,"Over",0.4106,"Over",0.2923,"Over",0.072,"Over",0.479,"Over",0.3607
"79","RCOR3","Over",0.1716,"Over",0.0272,"Over",0.1319,"Over",0.3394,"Over",0.195,"Over",0.2997
"80","PGAM4","Under",0.0679,"Under",0.1853,"Under",0.1387,"Over",0.0059,"Under",0.1115,"Under",0.0649
"81","SMG6","Over",0.0889,"Under",0.1915,"Under",0.1868,"Over",0.0566,"Under",0.2239,"Under",0.2191
"82","RPL35","Over",0.2475,"Over",0.2475,"Over",0.1111,"Over",0.2189,"Over",0.219,"Over",0.0825
"83","RPL7A","Over",0.0452,"Over",0.0739,"Under",0.0627,"Over",0.0015,"Over",0.0302,"Under",0.1064
"84","SSBP3","Under",0.0042,"Over",0.172,"Over",0.112,"Over",0.0368,"Over",0.213,"Over",0.153
"85","SNRPG","Over",0.1866,"Over",0.1049,"Over",0.0476,"Over",0.0778,"Under",0.0039,"Under",0.0612
"86","RPL23A","Over",0.1024,"Over",0.1673,"Over",0.0033,"Under",0.042,"Over",0.0229,"Under",0.1411
"87","TNFSF12","Over",0.1618,"Over",0.1386,"Over",2e-04,"Over",1e-04,"Under",0.0231,"Under",0.1616
"88","TPI1P2","Under",0.0687,"Under",0.2306,"Under",0.2712,"Over",0.07,"Under",0.0919,"Under",0.1325
"89","MYL4","Over",0.1249,"Over",0.3153,"Over",0.2469,"Over",0.1857,"Over",0.3762,"Over",0.3077
"90","ITGAM","Under",0.1542,"Under",0.3402,"Under",0.1846,"Under",0.0578,"Under",0.2437,"Under",0.0881
"91","RPL36","Over",0.1563,"Over",0.1863,"Over",0.0535,"Over",0.0388,"Over",0.0689,"Under",0.0639
"92","RPS7","Over",0.2404,"Over",0.1633,"Over",0.1146,"Over",0.1324,"Over",0.0554,"Over",0.0066
"93","CHD4","Over",0.1999,"Under",0.0744,"Under",0.0616,"Over",0.0778,"Under",0.1966,"Under",0.1837
"94","B4GALT5","Under",0.3106,"Under",0.288,"Under",0.298,"Under",0.2445,"Under",0.2219,"Under",0.2319
"95","HMBS","Over",0.028,"Over",0.3276,"Over",0.3168,"Over",0.1001,"Over",0.3996,"Over",0.3889
"96","RPS10","Over",0.1011,"Over",0.1145,"Over",0.0905,"Over",0.0344,"Over",0.0479,"Over",0.0239
"97","ZNF576","Over",0.1391,"Under",0.0905,"Under",0.2764,"Over",0.0654,"Under",0.1642,"Under",0.3501
"98","RRP7A","Under",0.0307,"Under",0.0911,"Under",0.0577,"Under",0.1837,"Under",0.2441,"Under",0.2107
"99","ARL5A","Over",0.2025,"Over",0.0544,"Over",0.2592,"Over",0.1334,"Under",0.0147,"Over",0.1901
"100","HMGN2","Under",0.116,"Under",0.1217,"Under",0.2694,"Under",0.09,"Under",0.0957,"Under",0.2434
"101","SF3B5","Over",0.0915,"Over",0.1955,"Over",0.1232,"Over",0.0503,"Over",0.1543,"Over",0.082
"102","MINDY1","Over",0.0856,"Under",0.1604,"Over",0.1124,"Under",0.0191,"Under",0.2651,"Over",0.0077
"103","RPLP1","Over",0.2802,"Over",0.3129,"Over",0.2621,"Over",0.1982,"Over",0.2308,"Over",0.1801
"104","PPM1A","Under",0.3027,"Over",0.1671,"Under",0.2671,"Under",0.183,"Over",0.2868,"Under",0.1475
"105","STAT2","Over",0.1641,"Under",0.0605,"Over",0.5991,"Over",0.1322,"Under",0.0924,"Over",0.5672
"106","TMX1","Over",0.2164,"Over",0.1156,"Over",0.2768,"Over",0.2762,"Over",0.1754,"Over",0.3366
"107","CXXC1","Over",0.0756,"Under",0.1452,"Under",0.0654,"Over",0.0398,"Under",0.1809,"Under",0.1011
"108","NNAT","Over",0.1035,"Under",0.115,"Under",0.25,"Under",0.0058,"Under",0.2242,"Under",0.3592
"109","AKAP5","Over",0.0572,"Under",0.2589,"Over",0.1184,"Under",0.0473,"Under",0.3633,"Over",0.0139
"110","ZNF14","Over",0.2025,"Under",0.3252,"Over",0.2652,"Over",0.015,"Under",0.5127,"Over",0.0777
"111","TMBIM6","Under",0.1193,"Under",0.1887,"Under",0.0971,"Under",0.1952,"Under",0.2647,"Under",0.1731
"112","GRM2","Over",0.1029,"Under",0.1714,"Under",0.2172,"Over",0.0995,"Under",0.1748,"Under",0.2206
"113","ALPP","Over",0.1469,"Under",0.4799,"Over",0.1606,"Under",0.0198,"Under",0.6466,"Under",0.0061
"114","SESN3","Over",0.0215,"Over",0.3275,"Over",0.2082,"Over",0.0701,"Over",0.3761,"Over",0.2568
"115","EIF3K","Over",0.0419,"Over",0.2502,"Over",0.0361,"Over",0.0071,"Over",0.2154,"Over",0.0012
"116","CA4","Under",0.2644,"Under",0.5339,"Under",0.3516,"Under",0.0485,"Under",0.3179,"Under",0.1356
"117","ZNF32","Over",0.0066,"Over",0.2258,"Under",0.0736,"Under",0.0044,"Over",0.2148,"Under",0.0846
"118","TOMM6","Over",0.1322,"Over",0.2759,"Over",0.1368,"Over",0.0905,"Over",0.2341,"Over",0.095
"119","BICRAL","Over",0.0189,"Under",0.1976,"Over",0.1717,"Over",0.0626,"Under",0.1539,"Over",0.2154
"120","ROPN1L","Under",0.2284,"Under",0.1804,"Under",0.1824,"Under",0.048,"Under",1e-04,"Under",0.0021
"121","STYX","Over",0.202,"Over",0.0435,"Over",0.2598,"Over",0.2466,"Over",0.0881,"Over",0.3044
"122","TPM3","Under",0.2023,"Under",0.1853,"Under",0.047,"Under",0.1847,"Under",0.1677,"Under",0.0294
"123","ATP6AP1","Under",0.0828,"Under",0.3077,"Under",0.1457,"Under",0.0891,"Under",0.314,"Under",0.152
"124","TRIM17","Over",0.1922,"Over",0.0315,"Under",0.061,"Over",0.1095,"Under",0.0512,"Under",0.1437
"125","DBNL","Under",0.1656,"Under",0.2134,"Under",0.1882,"Under",0.0873,"Under",0.1351,"Under",0.1098
"126","RPL15","Over",0.1508,"Over",0.2072,"Over",0.0102,"Over",0.0541,"Over",0.1104,"Under",0.0866
"127","VDAC2","Under",0.0194,"Over",0.1248,"Under",0.2796,"Under",0.0567,"Over",0.0874,"Under",0.317
"128","HCST","Under",0.0031,"Under",0.0438,"Under",0.3134,"Under",0.1516,"Under",0.1923,"Under",0.4619
"129","UBFD1","Over",0.0474,"Over",0.2027,"Over",0.1962,"Over",0.158,"Over",0.3134,"Over",0.3069
"130","STRADB","Under",0.034,"Over",0.1484,"Over",0.1122,"Over",0.2365,"Over",0.4189,"Over",0.3827
"131","ALPL","Under",0.2766,"Under",0.5822,"Under",0.3925,"Under",0.1707,"Under",0.4763,"Under",0.2866
"132","PCDHGB6","Over",0.0282,"Over",0.218,"Under",0.0323,"Over",0.1563,"Over",0.346,"Over",0.0957
"133","HNRNPK","Under",0.287,"Under",0.0078,"Under",0.3101,"Under",0.2045,"Over",0.0748,"Under",0.2276
"134","ZYX","Under",0.2818,"Under",0.2579,"Under",0.1608,"Under",0.2098,"Under",0.1858,"Under",0.0887
"135","SNCA","Under",0.0407,"Over",0.2103,"Over",0.0833,"Over",0.0197,"Over",0.2707,"Over",0.1438
"136","ASTN1","Over",0.1207,"Under",0.1014,"Under",0.2645,"Over",0.0668,"Under",0.1553,"Under",0.3184
"137","SH3BGRL","Over",0.0076,"Over",0.3626,"Over",0.2366,"Over",0.116,"Over",0.471,"Over",0.345
"138","MARCHF2","Over",0.1063,"Over",0.2622,"Over",0.1721,"Over",0.1754,"Over",0.3313,"Over",0.2412
"139","ARHGEF2","Under",0.034,"Under",0.3087,"Under",0.0246,"Under",0.0458,"Under",0.3205,"Under",0.0364
"140","SF3B6","Over",0.0431,"Over",0.2055,"Under",0.0985,"Over",0.0309,"Over",0.1934,"Under",0.1107
"141","ERI3","Over",0.2302,"Under",0.0761,"Under",0.1402,"Over",0.1418,"Under",0.1645,"Under",0.2286
"142","PGAM4","Under",0.1891,"Under",0.1178,"Under",0.1941,"Under",0.2286,"Under",0.1574,"Under",0.2337
"143","YTHDC1","Over",0.2092,"Over",0.0347,"Over",0.1942,"Over",0.1266,"Under",0.0479,"Over",0.1116
